STATION,LATITUDE,LONGITUDE,ZIP_Code
larrabeest&kingsburyst,41.897764,-87.642884,60610
orleansst&merchandisemartplaza,41.888243,-87.63639,60654
63rdstbeach,41.781016,-87.57612,60649
stonyislandave&67thst,41.773458,-87.58534,60619
clintonst&polkst,41.871467,-87.640949,60607
statest&pearsonst,41.897448,-87.628722,60611
desplainesst&jacksonblvd,41.878287,-87.643909,60661
halstedst&polkst,41.87184,-87.64664,60607
900wharrisonst,41.874754,-87.649807,60607
jefferyblvd&71stst,41.766638,-87.57645,60619
dearbornst&eriest,41.893992,-87.629318,60654
sedgwickst&huronst,41.894666,-87.638437,60610
sheffieldave&wavelandave,41.949399,-87.654529,60613
sheffieldave&wellingtonave,41.936266,-87.652662,60657
westernave&winnebagoave,41.91552,-87.687022,60647
wiltonave&belmontave,41.94018,-87.65304,60657
sedgwickst&northave,41.911386,-87.638677,60614
ashlandave&lakest,41.88592,-87.66717,60612
wentworthave&cermakrd(temp),41.853005,-87.630578,60616
blackstoneave&hydeparkblvd,41.802562,-87.590368,60615
southshoredr&71stst,41.766409,-87.565688,60649
greenst&randolphst,41.883668,-87.64867,60661
bissellst&armitageave,41.91844,-87.65222,60614
lincolnave&fullertonave,41.925905,-87.64926,60614
ogdenave&congresspkwy,41.87501,-87.67328,60612
californiaave&milwaukeeave,41.922695,-87.697153,60647
damenave&cullertonst,41.855048,-87.675726,60608
rushst&hubbardst,41.890173,-87.626185,60611
clarkst&northave,41.911974,-87.631942,60610
damenave&chicagoave,41.895769,-87.67722,60651
blueislandave&18thst,41.857556,-87.661535,60608
damenave&divisionst,41.903266,-87.678435,60622
lincolnave&belmontave,41.939365,-87.668385,60657
wiltonave&diverseypkwy,41.932418,-87.652705,60657
wentworthave&24thst(temp),41.850084,-87.632141,60616
kingsburyst&kinziest,41.889177,-87.638506,60654
peoriast&jacksonblvd,41.878691,-87.649532,60607
racineave&13thst,41.865054,-87.656959,60608
morganave&14thpl,41.862378,-87.651062,60608
halstedst&21stst,41.85378,-87.64665,60616
clybournave&divisionst,41.904613,-87.640552,60610
dearbornpkwy&delawarepl,41.898969,-87.629912,60610
clarkst&lincolnave,41.915689,-87.6346,60610
sedgwickst&websterave,41.922167,-87.638888,60614
larrabeest&websterave,41.921822,-87.64414,60614
miesvanderroheway&chestnutst,41.898587,-87.621915,60611
loomisst&jacksonblvd,41.877945,-87.662007,60607
indianaave&26thst,41.845687,-87.622481,60616
statest&33rdst,41.834734,-87.625813,60616
morganst&18thst,41.858086,-87.651073,60608
mcclurgct&eriest,41.894503,-87.617854,60611
campbellave&northave,41.910535,-87.689556,60647
calumetave&33rdst,41.8349,-87.61793,60616
fortdearborndr&31stst,41.838556,-87.608218,60653
racineave&18thst,41.858166,-87.656495,60608
lincolnave&diverseypkwy,41.932225,-87.658617,60657
southportave&wellingtonave,41.935733,-87.663576,60657
southportave&belmontave,41.93949,-87.66378,60657
clarkst&wellingtonave,41.936497,-87.647539,60657
lakeshoredr&wellingtonave,41.936637,-87.636963,60657
milwaukeeave&wabansiaave,41.912616,-87.681391,60647
claremontave&hirschst,41.907781,-87.685854,60647
damenave&clybournave,41.931931,-87.677856,60614
rushst&superiorst,41.895765,-87.625908,60611
paulinaave&northave,41.910337,-87.670072,60622
damenave&wellingtonave,41.93588,-87.67842,60618
ashlandave&wrightwoodave,41.92883,-87.668507,60614
franklinst&lakest,41.885837,-87.6355,60606
clarkst&gracest,41.95078,-87.659172,60613
canalst&madisonst,41.882091,-87.639833,60606
damenave&coulterst,41.8492,-87.67564,60608
michiganave&14thst,41.864059,-87.623727,60605
canalst&harrisonst,41.874255,-87.639573,60606
clintonst&18thst,41.85795,-87.640826,60616
mayst&cullertonst,41.855136,-87.654127,60608
honorest&divisionst,41.903119,-87.673935,60622
rushst&cedarst,41.902309,-87.627691,60611
miesvanderroheway&chicagoave,41.89691,-87.621743,60611
statest&19thst,41.856594,-87.627542,60616
mlkjrdr&pershingrd,41.8246,-87.61678,60653
ritchiect&banksst,41.906866,-87.626217,60610
lasallest&illinoisst,41.890762,-87.631697,60654
wackerdr&washingtonst,41.883132,-87.637321,60606
wellsst&elmst,41.903222,-87.634324,60610
wellsst&polkst,41.872596,-87.633502,60607
clarkst&elmst,41.902973,-87.63128,60610
theateronthelake,41.926277,-87.630834,60614
damenave&thomasst(augustablvd),41.901315,-87.677409,60622
statest&35thst,41.8309,-87.62803,60616
stavest&armitageave,41.917741,-87.691392,60647
ogdenave&raceave,41.891795,-87.658751,60622
greenviewave&fullertonave,41.92533,-87.6658,60613
southportave&wrightwoodave,41.928773,-87.663913,60614
canalst&monroest,41.88169,-87.63953,60606
throop(loomis)st&taylorst,41.868968,-87.659141,60608
canalst&adamsst,41.879255,-87.639904,60606
statest&29thst,41.841707,-87.626938,60616
wabashave&wackerpl,41.886875,-87.62603,60602
columbusdr&randolphst,41.884728,-87.619521,60601
cityfrontplazadr&pioneerct,41.890573,-87.622072,60611
michiganave&madisonst,41.882134,-87.625125,60603
greenst&madisonst,41.881892,-87.648789,60607
wabashave&grandave,41.891466,-87.626761,60611
mlkjrdr&47thst,41.809851,-87.616279,60653
indianaave&40thst,41.82168,-87.6216,60653
sheffieldave&kingsburyst,41.910522,-87.653106,60642
prairieave&garfieldblvd,41.794853,-87.618691,60615
paulinast&18thst,41.857901,-87.668745,60608
halstedst&archerave,41.847203,-87.646795,60616
emeraldave&28thst,41.84358,-87.645368,60616
ashlandave&21stst,41.85381,-87.665897,60608
normalave&archerave,41.849527,-87.640591,60616
ashlandave&divisionst,41.90345,-87.667747,60622
halstedst&18thst,41.857499,-87.646277,60616
westernave&21stst,41.854109,-87.685838,60608
aberdeenst&jacksonblvd,41.877726,-87.654787,60607
st.clairst&eriest,41.894448,-87.622663,60611
leavittst&northave,41.910153,-87.68229,60647
damenave&grandave,41.89122,-87.67686,60622
damenave&madisonst,41.88137,-87.67493,60612
californiaave&divisionst,41.903029,-87.697474,60647
elizabeth(may)st&fultonst,41.886616,-87.65804,60661
wellsst&19thst,41.856802,-87.633879,60616
wellsst&hubbardst,41.889906,-87.634266,60654
clarkst&drummondpl,41.931248,-87.644336,60614
mayst&taylorst,41.869482,-87.655486,60607
milwaukeeave&rockwellst,41.920195,-87.693033,60647
damenave&cortlandst,41.915983,-87.677335,60622
buckinghamfountain,41.876511,-87.620548,60605
southportave&wavelandave,41.94815,-87.66394,60613
cliftonave&armitageave,41.918216,-87.656936,60614
halstedst&willowst,41.913865,-87.648755,60614
halstedst&dickensave,41.919936,-87.64883,60614
racineave&belmontave,41.939743,-87.658865,60657
clarkst&montroseave,41.961588,-87.666036,60640
damenave&melroseave,41.9406,-87.6785,60613
southportave&roscoest,41.943739,-87.66402,60613
lincolnave&roscoest,41.94334,-87.67097,60613
sheridanrd&montroseave,41.96167,-87.65464,60613
orleansst&elmst,41.902924,-87.637715,60610
pinegroveave&wavelandave,41.949275,-87.646303,60613
sangamonst&washingtonblvd,41.883165,-87.6511,60607
clarendonave&juniorter,41.961004,-87.649603,60613
ashlandave&belleplaineave,41.956057,-87.668835,60613
sedgwickst&schillerst,41.907626,-87.638566,60610
mlkjrdr&29thst,41.842052,-87.617,60616
wolcott(ravenswood)ave&montroseave,41.961406,-87.676169,60640
westernave&lelandave,41.966555,-87.688487,60625
sheridanrd&irvingparkrd,41.954245,-87.654406,60613
morganst&polkst,41.871737,-87.65103,60607
fairbanksct&grandave,41.8925,-87.6207,60611
damenave&lelandave,41.967094,-87.679028,60640
lincolnave&sunnysideave,41.963004,-87.684781,60625
ravenswoodave&irvingparkrd,41.95469,-87.67393,60613
woodlawnave&55thst,41.795264,-87.596471,60637
montroseharbor,41.963982,-87.638181,60613
ashlandave&wellingtonave,41.936083,-87.669807,60618
shoredr&55thst,41.795212,-87.580715,60615
clarendonave&lelandave,41.967968,-87.650001,60640
broadway&sheridanrd,41.952833,-87.649993,60613
lincolnave&wavelandave,41.948797,-87.675278,60618
loganblvd&elstonave,41.929465,-87.684158,60647
californiaave&francispl(temp),41.918491,-87.697423,60647
michiganave&pearsonst,41.89766,-87.62351,60611
greenwoodave&47thst,41.809835,-87.599383,60615
winthropave&lawrenceave,41.968812,-87.657659,60640
pinegroveave&irvingparkrd,41.954383,-87.648043,60613
indianaave&rooseveltrd,41.867888,-87.623041,60605
hermitageave&polkst,41.871514,-87.669886,60612
mcclurgct&illinoisst,41.890359,-87.617532,60611
halstedst&37thst,41.827059,-87.64572,60609
rhodesave&32ndst,41.836208,-87.613533,60653
stetsonave&southwaterst,41.886835,-87.62232,60602
cottagegroveave&oakwoodblvd,41.822985,-87.6071,60653
lakeparkave&47thst,41.809443,-87.591875,60653
lakeshoredr&northblvd,41.911722,-87.626804,60610
stonyislandave&75thst,41.75867,-87.586883,60649
cottagegroveave&43rdst,41.816499,-87.606582,60653
larrabeest&northave,41.91021,-87.6435,60610
indianaave&31stst,41.838842,-87.621857,60616
michiganave&18thst,41.857813,-87.62455,60616
kedzieave&milwaukeeave,41.929567,-87.707857,60647
ashlandave&13thst,41.865234,-87.666507,60608
californiaave&northave,41.91044,-87.6972,60647
ashlandave&grandave,41.891072,-87.666611,60642
wallacest&35thst,41.830629,-87.64129,60616
halstedst&35thst,41.830661,-87.647172,60632
racineave&15thst,41.861267,-87.656625,60608
westernave&24thst,41.84847,-87.685109,60608
larrabeest&menomoneest,41.91468,-87.64332,60614
morganst&31stst,41.8378,-87.65114,60609
halstedst&maxwellst,41.864883,-87.647071,60608
lasallest&jacksonblvd,41.878166,-87.631929,60604
kedzieave&palmerct,41.921525,-87.707322,60647
wellsst&evergreenave,41.906724,-87.63483,60610
noblest&milwaukeeave,41.90068,-87.6626,60642
southportave&clarkst,41.957081,-87.664199,60613
broadway&wilsonave,41.965221,-87.658139,60640
broadway&berwynave,41.978353,-87.659753,60640
broadway&argylest,41.973815,-87.65966,60626
broadway&belmontave,41.940106,-87.645451,60657
paulinast&montroseave,41.961507,-87.671387,60613
lincolnave&belleplaineave,41.95602,-87.680293,60618
halstedst&roscoest,41.94367,-87.64895,60657
michiganave&jacksonblvd,41.87785,-87.62408,60604
woodst&hubbardst,41.889899,-87.671473,60622
franklinst&adamsst(temp),41.879434,-87.635504,60606
franklinst&monroest,41.880317,-87.635185,60606
larrabeest&armitageave,41.918084,-87.643749,60610
wellsst&concordln,41.912133,-87.634656,60614
broadway&wavelandave,41.949074,-87.648636,60613
broadway&barryave,41.937725,-87.644095,60657
clarkst&schillerst,41.907993,-87.631501,60610
ashlandave&augustablvd,41.899643,-87.6677,60622
sheffieldave&wrightwoodave,41.928712,-87.653833,60614
broadway&corneliaave,41.945529,-87.646439,60657
sheridanrd&buenaave,41.958494,-87.654966,60613
westernave&divisionst,41.902893,-87.687275,60622
southportave&clybournave,41.920771,-87.663712,60614
seeleyave&roscoest,41.943403,-87.679618,60618
leavittst&armitageave,41.917805,-87.682437,60647
damenave&charlestonst,41.920082,-87.677855,60647
leavittst&lawrenceave,41.968885,-87.684001,60625
franklinst&chicagoave,41.896747,-87.635668,60654
clarendonave&gordonter,41.957879,-87.649519,60613
lakeviewave&fullertonpkwy,41.925858,-87.638973,60614
ravenswoodave&berteauave,41.957921,-87.673567,60613
elstonave&wabansiaave,41.912919,-87.664169,60642
damenave&sunnysideave,41.96325,-87.679258,60640
woodst&taylorst,41.869154,-87.671045,60612
southportave&irvingparkrd,41.954177,-87.664358,60613
greenviewave&diverseypkwy,41.93259,-87.665936,60613
sheddaquarium,41.867226,-87.615355,60605
loomisst&lexingtonst,41.872187,-87.661501,60607
wabashave&9thst,41.870769,-87.625734,60605
racineave&congresspkwy,41.87464,-87.65703,60607
sheridanrd&lawrenceave,41.969517,-87.654691,60640
stocktondr&wrightwoodave,41.93132,-87.638742,60614
clarkst&winnemacave,41.97334,-87.66778,60640
clarkst&lelandave,41.967096,-87.667429,60640
sheffieldave&websterave,41.92154,-87.653818,60614
ellisave&58thst,41.788746,-87.601334,60637
lakeshoredr&diverseypkwy,41.932588,-87.636427,60614
lincolnave&addisonst,41.946176,-87.673308,60613
halstedst&clybournave,41.909668,-87.648128,60642
statest&vanburenst,41.877181,-87.627844,60604
burlingst(halsted)&diverseypkwy(temp),41.93314,-87.64776,60657
ashlandave&blackhawkst,41.907066,-87.667252,60622
lakeshoredr&belmontave,41.940775,-87.639192,60657
calumetave&35thst,41.831379,-87.618034,60616
cottagegroveave&47thst,41.809855,-87.606755,60637
clarkst&chicagoave,41.89675,-87.63089,60610
calumetave&18thst,41.857611,-87.619407,60616
kimbarkave&53rdst,41.799568,-87.594747,60615
emeraldave&31stst,41.838198,-87.645143,60616
clarkst&wrightwoodave,41.929546,-87.643118,60614
adlerplanetarium,41.866095,-87.607267,60605
cannondr&fullertonave,41.926756,-87.634429,60614
wolcottave&polkst,41.871262,-87.673688,60612
racineave&wrightwoodave,41.928887,-87.658971,60614
ravenswoodave&lawrenceave,41.96909,-87.674237,60640
lakeparkave&56thst,41.793242,-87.587782,60637
adast&washingtonblvd,41.88283,-87.661206,60607
halstedst&wrightwoodave,41.929143,-87.649077,60614
ashlandave&chicagoave,41.895966,-87.667747,60622
cottagegroveave&51stst,41.803038,-87.606615,60615
ashlandave&gracest,41.950687,-87.6687,60618
californiaave&21stst,41.853804,-87.695742,60623
larrabeest&divisionst,41.903486,-87.643353,60610
franklinst&jacksonblvd,41.877708,-87.635321,60606
larrabeest&oakst,41.900219,-87.642985,60610
halstedst&northbranchst,41.899368,-87.64848,60622
loomisst&archerave,41.841633,-87.657435,60608
racineave&35thst,41.830696,-87.655976,60609
streeterdr&grandave,41.892278,-87.612043,60611
jefferyblvd&67thst,41.773518,-87.577143,60649
clarkst&touhyave,42.01256,-87.674367,60626
sheridanrd&greenleafave,42.010587,-87.662412,60626
southshoredr&67thst,41.773643,-87.567514,60619
stonyislandave&71stst,41.766493,-87.586461,60649
ashlandave&archerave,41.839209,-87.66561,60620
woodst&35thst,41.830105,-87.670298,60609
calumetave&21stst,41.854184,-87.619154,60616
westernave&congresspkwy,41.874749,-87.686445,60612
paulinast&flournoyst,41.87295,-87.66913,60612
halstedst&51stst,41.801832,-87.645214,60609
princetonave&garfieldblvd,41.794982,-87.633124,60621
halstedst&56thst,41.79293,-87.64499,60621
halstedst&63rdst,41.779381,-87.644621,60621
wentworthave&63rdst,41.78008,-87.629746,60636
halstedst&69thst,41.769062,-87.644614,60621
wabashave&adamsst,41.879472,-87.625689,60603
dearbornst&adamsst,41.879356,-87.629791,60604
kedzieave&chicagoave,41.895465,-87.706128,60624
westernave&waltonst,41.898418,-87.686596,60622
sacramentoblvd&franklinblvd,41.890469,-87.702608,60622
artesianave&hubbardst,41.889492,-87.688219,60612
kedzieave&lakest,41.884603,-87.706304,60624
californiaave&lakest,41.884454,-87.696298,60625
westernave&monroest,41.879788,-87.686113,60612
clarkst&lakest,41.886021,-87.630876,60696
perryave&69thst,41.769293,-87.628196,60621
calumetave&71stst,41.765508,-87.616918,60619
clarkst&9thst(amli),41.870816,-87.631246,60605
